TransitLine;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;Day
3299;653;493;12;90;375;382;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2036
3321;91;368;630;495;301;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1912
3332;10;303;402;425;304;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1547
3331;191;185;367;506;156;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508
3320;76;346;666;399;340;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1904
3327;112;450;660;683;471;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2530
3326;65;319;500;504;250;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1677
3325;36;130;68;72;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322
3336;0;0;48;192;294;96;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;647
3302;474;219;1;58;308;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266
3301;711;530;62;0;344;594;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2760
3322;616;583;84;0;0;504;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1831
3300;510;3;0;0;195;791;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1613
3333;0;0;200;179;133;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;547
3319;0;184;458;475;213;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1348